scenario,model,seed,retention,budget_mode,label_policy,defense,val_min_nn_distance,val_benign_dropped_frac,target_poison_ratio,round,threshold_mode,threshold,n_train,n_honeypot,poison_ratio,hp_mean_weight,hp_zero_weight_frac,hp_effective_ratio,defense_seconds,fit_seconds,fpr,tpr,precision,f1,auroc,tn,fp,fn,tp,cum_flows,cum_packets,cum_bytes,cum_duration_s,batch_flows,batch_packets,batch_bytes,batch_duration_s,batch_admitted,batch_resampled,tpr_seen_both,n_seen_both,tpr_seed_only,n_seed_only,tpr_honeypot_only,n_honeypot_only,jitter,cost_padding,dataset,d1_estar,d1_gamma,d1_components,d1_quantile,d1_reference,d1_estar_effective,uniform_w
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,0,fixed,0.4774670898914337,28515,0,0.0,,,0.0,0.0,0.5599818999908166,0.006781429316640584,0.8581845612270556,0.9740296803652968,0.9124448603127925,0.9867628741558769,13328,91,564,3413,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.946524064171123,2805,0.9913194444444444,576,0.313758389261745,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,0,recalibrated,0.3183348774909973,28515,0,0.0,,,0.0,0.0,0.5599818999908166,0.009985840971756465,0.8755343223535328,0.9629424778761062,0.917160542605031,0.9867628741558769,13285,134,495,3482,0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,0.9586452762923351,2805,0.9930555555555556,576,0.37080536912751677,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,1,fixed,0.4774670898914337,28590,75,0.0026232948583420775,1.0,0.0,0.0026232948583420775,9.610000415705144e-05,0.4423926000017673,0.00797376853714882,0.930600955494091,0.9719012605042017,0.9508028259473347,0.9965169911055939,13312,107,276,3701,75,3066.8855159133673,1574055.6328811646,273.5518785356445,75,3066.8855159133673,1574055.6328811646,273.5518785356445,True,False,0.9472370766488414,2805,0.9947916666666666,576,0.790268456375839,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,1,recalibrated,0.3828997015953064,28590,75,0.0026232948583420775,1.0,0.0,0.0026232948583420775,9.610000415705144e-05,0.4423926000017673,0.009985840971756465,0.9446819210460146,0.9655615523001799,0.9550076258261312,0.9965169911055939,13285,134,220,3757,75,3066.8855159133673,1574055.6328811646,273.5518785356445,75,3066.8855159133673,1574055.6328811646,273.5518785356445,True,False,0.9532976827094474,2805,0.9965277777777778,576,0.8540268456375839,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,2,fixed,0.4774670898914337,28665,150,0.0052328623757195184,1.0,0.0,0.0052328623757195184,0.00015259998326655477,0.5461780000041472,0.00655786571279529,0.9504651747548404,0.9772492244053774,0.9636711281070747,0.9971551339345734,13331,88,197,3780,150,5237.436337336898,2790627.6580266953,831.9469761020507,75,2170.5508214235306,1216572.0251455307,558.3950975664062,True,False,0.9479500891265598,2805,0.9947916666666666,576,0.9194630872483222,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,2,recalibrated,0.345537394285202,28665,150,0.0052328623757195184,1.0,0.0,0.0052328623757195184,0.00015259998326655477,0.5461780000041472,0.009985840971756465,0.9622831279859191,0.9661701590507448,0.964222726127488,0.9971551339345734,13285,134,150,3827,150,5237.436337336898,2790627.6580266953,831.9469761020507,75,2170.5508214235306,1216572.0251455307,558.3950975664062,True,False,0.9572192513368984,2805,1.0,576,0.9496644295302014,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,3,fixed,0.4774670898914337,28740,225,0.007828810020876827,1.0,0.0,0.007828810020876827,0.0002066000015474856,0.49308330001076683,0.006483344511513525,0.9522252954488307,0.9775425916365513,0.9647178703349891,0.997403103840825,13332,87,190,3787,225,7714.769318971783,3766094.039364338,1326.3694878305664,75,2477.332981634885,975466.3813376427,494.42251172851564,True,False,0.9479500891265598,2805,0.9947916666666666,576,0.9312080536912751,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,3,recalibrated,0.3541029989719391,28740,225,0.007828810020876827,1.0,0.0,0.007828810020876827,0.0002066000015474856,0.49308330001076683,0.009985840971756465,0.9622831279859191,0.9661701590507448,0.964222726127488,0.997403103840825,13285,134,150,3827,225,7714.769318971783,3766094.039364338,1326.3694878305664,75,2477.332981634885,975466.3813376427,494.42251172851564,True,False,0.9557932263814617,2805,0.9982638888888888,576,0.9580536912751678,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,4,fixed,0.4774670898914337,28815,300,0.010411244143675169,1.0,0.0,0.010411244143675169,0.00018230000569019467,0.48511080000025686,0.007526641329458231,0.9570027659039477,0.9741489633990273,0.965499746321664,0.9973116059716123,13318,101,171,3806,300,11172.288450181484,5162363.735927105,2233.408567902832,75,3457.5191312097013,1396269.696562767,907.0390800722656,True,False,0.9497326203208556,2805,0.9930555555555556,576,0.9563758389261745,596,,1.0,synthetic,,,,,,,
s0,xgboost,2,accumulate,fixed_ratio,auto_malicious,sharecap_c0.03,0.0,0.0,0.05,4,recalibrated,0.36221644282341003,28815,300,0.010411244143675169,1.0,0.0,0.010411244143675169,0.00018230000569019467,0.48511080000025686,0.009985840971756465,0.9627860196127734,0.966187231895029,0.9644836272040301,0.9973116059716123,13285,134,148,3829,300,11172.288450181484,5162363.735927105,2233.408567902832,75,3457.5191312097013,1396269.696562767,907.0390800722656,True,False,0.9557932263814617,2805,0.9965277777777778,576,0.9630872483221476,596,,1.0,synthetic,,,,,,,
