partition,class,feature,n,mean,std,min,p50,p99,max
seed_train,all,flow_duration,30311,4769088.304364202,7213561.742008638,33054.48252080858,2575875.7409787993,33655729.01069083,249527898.92786536
seed_train,all,fwd_packets,30311,13.177531312187384,15.710141399725938,0.1002200522005048,8.525000936784702,75.59767025692199,440.83956076670086
seed_train,all,bwd_packets,30311,10.328433802484124,11.802975553859,0.13006650699864641,6.894815884600805,55.972390660144065,424.9158285559288
seed_train,all,fwd_bytes,30311,1309.0538259165803,1777.7919727620083,13.799298087043233,770.2102598294952,8566.202237876494,45045.34186670369
seed_train,all,bwd_bytes,30311,3904.2593714010472,5822.293107687551,21.195724092715963,2100.5916854848324,27971.785500952396,133502.91819867762
seed_train,all,fwd_pkt_len_max,30311,401.74385209507506,316.7272386308012,16.067586520801548,314.3216775936332,1597.4782460339068,4249.938514464455
seed_train,all,fwd_pkt_len_min,30311,39.79564970592804,20.952913330161746,5.521194675618592,35.31999389222702,111.96936461029225,237.47401242305227
seed_train,all,fwd_pkt_len_mean,30311,119.57297274620123,78.88098773086527,4.621830175718287,99.32213185012662,402.816958046004,1314.696470187851
seed_train,all,bwd_pkt_len_max,30311,904.5180382381776,596.7360223292827,62.06261320559354,753.3159582287037,3026.0996564022953,8442.368121774922
seed_train,all,bwd_pkt_len_min,30311,40.080419414115696,21.472983181787598,3.287290907030081,35.30976429128983,112.72958915749668,273.0290658678798
seed_train,all,bwd_pkt_len_mean,30311,348.73103075358426,228.68778419266616,25.3252420164225,290.99708266572037,1173.8541561159273,4346.380083413195
seed_train,all,flow_bytes_per_s,30311,3728.5347262074274,8941.494683767127,6.330364002528285,1366.1618675250622,38293.30204768227,393323.8120222696
seed_train,all,flow_pkts_per_s,30311,18.144952846037864,43.49922175916167,0.027568919166930248,7.074953980446634,180.43699384633143,2379.042881564365
seed_train,all,flow_iat_mean,30311,402364.47511582036,521224.35228964273,4328.042697399564,243756.83244247868,2504730.9311165973,14839487.644203806
seed_train,all,flow_iat_std,30311,505506.9327122651,658129.6064963826,6973.772583205028,305177.5607435143,3083136.093588355,17234879.875507686
seed_train,all,flow_iat_max,30311,1523191.5714353537,2018089.2449016464,14133.729631967068,918867.0789657036,9326869.911573723,80160571.37026884
seed_train,all,flow_iat_min,30311,4954.065561272308,8989.591900446027,12.761751947367472,2411.095649275266,38889.24452113574,433538.0919743989
seed_train,all,fwd_iat_mean,30311,600815.8150221264,746125.8683212552,3271.313161267592,367216.51272627566,3621822.9816888045,13268422.490923094
seed_train,all,bwd_iat_mean,30311,600612.6784430605,772113.9079900421,4385.58599819591,365349.5429587257,3590995.270979179,26172431.43391336
seed_train,all,syn_flag_count,30311,1.4582164890633764,1.8784518658035307,0.0,1.0,9.0,18.0
seed_train,all,psh_flag_count,30311,3.012536702847151,1.7369603652679102,0.0,3.0,8.0,12.0
seed_train,all,ack_flag_count,30311,16.14248952525486,6.608273706077293,2.0,15.0,45.0,66.0
seed_train,all,down_up_ratio,30311,1.3942699350239216,0.7454495009995623,0.1664640250641012,1.2277202386492443,3.9455440954299004,8.87593954558363
seed_train,all,pkt_size_avg,30311,301.08850927558973,197.4765030324822,20.84995399284368,251.66492657990403,1012.8622713589701,3485.07103954465
seed_train,benign,flow_duration,27549,4994503.530679312,7427892.922649798,33054.48252080858,2748735.606058089,34685035.378928,249527898.92786536
seed_train,benign,fwd_packets,27549,12.08713926388569,13.394481668133313,0.1002200522005048,8.00654676838007,67.44516744763679,283.55829950674985
seed_train,benign,bwd_packets,27549,9.958787709599012,11.23217405141907,0.13006650699864641,6.715742131622141,52.70909348359448,424.9158285559288
seed_train,benign,fwd_bytes,27549,1187.9918364511127,1509.6112914517053,13.799298087043233,723.3127967759434,7437.030062772404,36685.73139875754
seed_train,benign,bwd_bytes,27549,4031.0100042284175,5866.1168280185375,36.43213928328073,2198.7036772268384,28390.938836525245,131025.47853495146
seed_train,benign,fwd_pkt_len_max,27549,401.90952218749686,317.44104240658606,16.067586520801548,314.39842627952254,1595.8661407530228,4249.938514464455
seed_train,benign,fwd_pkt_len_min,27549,39.773198472334535,20.91973575166023,5.521194675618592,35.31842147835319,111.952824812468,237.47401242305227
seed_train,benign,fwd_pkt_len_mean,27549,119.33828821182973,78.74311727285836,4.621830175718287,98.93831612501813,401.84591113717556,1314.696470187851
seed_train,benign,bwd_pkt_len_max,27549,904.2923948908618,594.5273404673135,62.06261320559354,753.8516742757286,3008.5428095033403,8442.368121774922
seed_train,benign,bwd_pkt_len_min,27549,40.142773622089514,21.505563487329077,3.287290907030081,35.348505877574205,112.75877134911794,273.0290658678798
seed_train,benign,bwd_pkt_len_mean,27549,349.33705530896617,229.7602385765258,25.3252420164225,291.198991589183,1177.4578282792777,4346.380083413195
seed_train,benign,flow_bytes_per_s,27549,3438.8728077386922,8307.03335284996,6.330364002528285,1274.4913670941742,35263.0140515185,393323.8120222696
seed_train,benign,flow_pkts_per_s,27549,14.579250166440225,27.944688760646425,0.027568919166930248,6.384319094330429,128.1023984318905,851.4613556482938
seed_train,benign,flow_iat_mean,27549,401000.56479230314,516177.8362316665,4328.042697399564,242925.0142273082,2444374.5989162424,14839487.644203806
seed_train,benign,flow_iat_std,27549,505127.7557281678,659666.1910895791,6973.772583205028,305094.1841115651,3068712.9365545204,17234879.875507686
seed_train,benign,flow_iat_max,27549,1523423.8472234996,2002508.854214953,14133.729631967068,919929.7157842097,9300929.528638579,80160571.37026884
seed_train,benign,flow_iat_min,27549,4964.124170388516,9044.095788679484,12.761751947367472,2420.851290229101,38859.005785291876,433538.0919743989
seed_train,benign,fwd_iat_mean,27549,602648.7724716032,752167.0196867753,4502.5035862354125,367332.6557852011,3663211.384612717,13268422.490923094
seed_train,benign,bwd_iat_mean,27549,598652.5270162213,766376.8277937283,4385.58599819591,364689.55885850964,3559929.6851396803,26172431.43391336
seed_train,benign,syn_flag_count,27549,1.0023594322842935,0.9989439891718362,0.0,1.0,4.0,9.0
seed_train,benign,psh_flag_count,27549,3.011252677048169,1.733177013931831,0.0,3.0,8.0,11.0
seed_train,benign,ack_flag_count,27549,14.998765835420523,3.874346586674943,2.0,15.0,25.0,34.0
seed_train,benign,down_up_ratio,27549,1.3966025232361505,0.7467952653965488,0.1664640250641012,1.2298061835323666,3.941099359993471,8.87593954558363
seed_train,benign,pkt_size_avg,27549,300.38900292727664,196.66060911814563,23.47352101601203,250.89965121171682,1004.0599806191702,3485.07103954465
seed_train,attack,flow_duration,2762,2520730.5673059314,3895255.1045311796,37385.43499904514,1258287.5007462944,18014590.24186164,71414061.15859564
seed_train,attack,fwd_packets,2762,24.053422166156718,28.087294277049118,0.4986516631542835,16.022927575609035,127.68450809724375,440.83956076670086
seed_train,attack,bwd_packets,2762,14.015392605124207,15.98438867801459,0.39720390217615203,9.010839848444977,78.84722053208911,219.95830179561978
seed_train,attack,fwd_bytes,2762,2516.5616998427818,3217.1110201916877,48.595202960235085,1515.653478331776,16180.081193035525,45045.34186670369
